REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
52.0;85;85129;pr;a;m;l;4;VI;51.0;510.0;0.0;1.0;0.0;1
52.0;85;85129;pr;a;m;l;5;0;89.0;500.0;0.0;0.0;0.0;1
52.0;85;85130;pa;a;a;l;2;D;42.0;535.0;1.0;0.0;1.0;1
52.0;85;85130;pr;a;a;l;3;D;70.0;542.0;0.0;0.0;1.0;1
52.0;85;85130;pr;a;m;l;4;A;94.0;730.0;0.0;1.0;0.0;1
52.0;85;85135;pr;a;m;l;3;D;63.0;464.0;0.0;0.0;1.0;1
52.0;85;85137;pr;a;m;l;6;0;106.0;600.0;0.0;1.0;1.0;1
52.0;85;85137;pr;a;m;l;6;VI;106.0;600.0;0.0;1.0;1.0;1
52.0;85;85140;pr;a;m;l;4;E;80.0;605.0;0.0;0.0;1.0;1
52.0;85;85146;pa;a;a;l;2;0;43.0;503.0;1.0;1.0;0.0;1
52.0;85;85146;pr;a;a;l;1;D;26.0;345.0;0.0;0.5;0.0;2
52.0;85;85146;pr;a;a;l;1;E;24.0;320.0;0.0;1.0;0.0;3
52.0;85;85146;pr;a;a;l;1;G;25.0;380.0;0.0;1.0;0.0;2
52.0;85;85146;pr;a;a;l;1;VI;13.0;240.0;0.0;1.0;0.0;1
52.0;85;85146;pr;a;a;l;2;0;51.0;480.0;1.0;0.0;1.0;1
52.0;85;85146;pr;a;a;l;2;D;40.0;440.0;0.0;0.5;0.5;2
52.0;85;85146;pr;a;a;l;2;E;40.0;417.0;0.0;1.0;0.0;3
52.0;85;85146;pr;a;a;l;3;C;64.0;596.0;0.0;1.0;0.5;2
52.0;85;85146;pr;a;a;l;3;D;62.0;565.0;0.0;0.5;1.0;2
52.0;85;85146;pr;a;m;l;2;F;41.0;470.0;0.0;1.0;0.0;1
52.0;85;85151;pa;a;m;l;6;D;130.0;1150.0;1.0;0.0;0.0;1
52.0;85;85151;pr;a;m;l;3;E;90.0;450.0;0.0;0.0;1.0;1
52.0;85;85153;pr;a;m;l;3;VI;92.0;455.0;0.0;0.0;1.0;1
52.0;85;85155;pr;a;m;l;3;VI;78.0;490.0;0.0;1.0;0.0;1
52.0;85;85155;pr;a;m;l;4;E;73.0;695.0;0.0;1.0;0.0;1
52.0;85;85156;pr;a;a;l;1;NS;32.0;330.0;0.0;1.0;0.0;1
52.0;85;85156;pr;a;m;l;3;D;77.0;640.0;0.0;0.0;0.0;1
52.0;85;85158;pr;a;m;l;4;E;85.0;687.0;0.0;1.0;0.0;1
52.0;85;85159;pa;a;m;l;3;0;39.0;420.0;0.0;1.0;0.0;1
52.0;85;85160;pr;a;m;l;2;D;62.0;548.5;0.0;0.5;0.0;2
52.0;85;85163;pr;a;a;l;1;E;19.0;403.0;1.0;1.0;0.0;1
52.0;85;85163;pr;a;a;l;2;D;29.5;492.5;0.0;0.5;0.0;2
52.0;85;85163;pr;a;a;l;2;E;48.0;495.0;1.0;0.0;1.0;1
52.0;85;85163;pr;a;a;l;3;E;58.0;550.0;1.0;0.0;1.0;1
52.0;85;85163;pr;a;a;l;4;VI;74.0;700.0;0.0;0.0;1.0;1
52.0;85;85163;pr;a;m;l;2;D;42.0;550.0;0.0;1.0;0.0;1
52.0;85;85164;pr;a;m;l;2;D;25.0;370.0;0.0;0.0;0.0;1
52.0;85;85164;pr;a;m;l;3;E;47.0;640.0;0.0;1.0;0.0;1
52.0;85;85164;pr;a;m;l;5;0;92.0;870.0;0.0;1.0;0.0;1
52.0;85;85174;pr;a;a;l;3;D;74.0;430.0;0.0;0.0;0.5;2
52.0;85;85176;pr;a;m;l;4;D;98.0;600.0;0.0;1.0;0.0;1
52.0;85;85178;pr;a;a;l;3;0;76.0;565.0;0.0;1.0;0.0;1
52.0;85;85178;pr;a;m;l;4;E;90.0;525.0;0.0;1.0;0.0;1
52.0;85;85182;pa;a;a;l;2;0;50.0;345.0;0.0;0.0;1.0;1
52.0;85;85182;pr;a;a;l;1;D;31.0;286.0;0.0;1.0;0.0;1
52.0;85;85182;pr;a;a;l;1;VI;25.0;370.0;0.0;1.0;0.0;1
52.0;85;85182;pr;a;a;l;2;D;50.5;380.0;1.0;0.0;1.0;2
52.0;85;85182;pr;a;a;l;2;E;48.0;326.0;0.0;0.0;1.0;1
52.0;85;85182;pr;a;a;l;2;VI;43.5;525.0;0.0;0.5;0.5;2
52.0;85;85182;pr;a;a;l;3;C;67.0;479.0;1.0;0.0;1.0;1
52.0;85;85182;pr;a;m;l;4;VI;105.0;525.0;0.0;1.0;0.0;1
52.0;85;85182;pr;a;m;l;5;D;127.0;670.0;0.0;1.0;0.0;1
52.0;85;85185;pr;a;m;l;3;C;80.0;535.0;0.0;0.0;1.0;1
52.0;85;85189;pr;a;m;l;3;D;59.0;640.0;0.0;1.0;0.0;1
52.0;85;85190;pr;a;a;l;2;0;36.0;455.0;0.0;1.0;0.0;1
52.0;85;85191;pa;a;a;l;1;0;10.0;360.0;0.0;0.0;0.0;1
52.0;85;85191;pa;a;a;l;1;E;37.0;450.0;0.0;0.0;0.0;1
52.0;85;85191;pa;a;a;l;2;0;38.5;515.0;0.0;0.25;0.25;4
52.0;85;85191;pa;a;a;l;2;D;36.0;451.0;0.0;1.0;0.0;1
52.0;85;85191;pa;a;a;l;3;D;70.0;450.0;1.0;0.0;0.0;1
52.0;85;85191;pa;a;a;l;4;0;78.0;700.0;0.0;0.0;0.0;1
52.0;85;85191;pa;a;m;l;3;F;65.0;590.0;0.0;1.0;0.0;1
52.0;85;85191;pa;a;m;l;4;0;110.0;415.0;0.0;0.0;1.0;1
52.0;85;85191;pa;a;m;l;4;A;87.0;1290.0;0.0;0.0;1.0;1
52.0;85;85191;pa;a;m;l;5;0;260.0;320.0;0.0;0.0;3.0;1
52.0;85;85191;pr;a;a;l;1;0;24.0;316.0;0.27;0.82;0.18;11
52.0;85;85191;pr;a;a;l;1;A;32.0;384.0;0.6;0.8;0.0;5
52.0;85;85191;pr;a;a;l;1;B;29.0;350.0;0.33;1.0;0.0;3
52.0;85;85191;pr;a;a;l;1;C;23.0;389.0;0.0;0.0;0.33;3
52.0;85;85191;pr;a;a;l;1;D;25.0;350.0;0.13;0.47;0.27;15
52.0;85;85191;pr;a;a;l;1;E;24.0;350.0;0.05;0.42;0.16;19
52.0;85;85191;pr;a;a;l;1;F;18.0;355.0;0.0;0.0;1.0;1
52.0;85;85191;pr;a;a;l;1;G;17.0;295.0;1.0;0.0;0.0;1
52.0;85;85191;pr;a;a;l;1;NS;29.0;350.0;0.57;0.43;0.0;7
52.0;85;85191;pr;a;a;l;1;VI;26.0;460.0;0.0;0.67;0.33;3
52.0;85;85191;pr;a;a;l;2;0;43.5;477.5;0.5;0.81;0.19;16
52.0;85;85191;pr;a;a;l;2;A;43.0;458.0;0.33;0.44;0.11;9
52.0;85;85191;pr;a;a;l;2;B;43.5;485.0;0.5;0.5;0.0;6
52.0;85;85191;pr;a;a;l;2;C;43.0;434.5;0.25;0.25;0.75;4
52.0;85;85191;pr;a;a;l;2;D;39.5;432.5;0.59;0.41;0.5;22
52.0;85;85191;pr;a;a;l;2;E;35.0;445.0;0.27;0.64;0.09;11
52.0;85;85191;pr;a;a;l;2;NS;44.5;470.0;0.62;0.12;0.0;8
52.0;85;85191;pr;a;a;l;2;VI;59.0;450.0;0.0;0.67;0.0;3
52.0;85;85191;pr;a;a;l;3;0;68.5;662.5;0.5;0.75;0.0;4
52.0;85;85191;pr;a;a;l;3;A;63.0;604.0;0.31;0.54;0.31;13
52.0;85;85191;pr;a;a;l;3;C;67.0;564.0;1.0;0.0;1.0;3
52.0;85;85191;pr;a;a;l;3;D;69.0;670.0;0.4;0.4;0.4;5
52.0;85;85191;pr;a;a;l;3;NS;64.0;570.0;0.4;0.2;0.0;5
52.0;85;85191;pr;a;a;l;4;0;83.0;635.0;0.33;0.33;0.33;3
52.0;85;85191;pr;a;a;l;4;D;75.5;470.5;0.0;0.5;0.0;2
52.0;85;85191;pr;a;a;l;5;0;80.0;300.0;0.0;0.0;0.0;1
52.0;85;85191;pr;a;a;l;5;E;92.0;450.0;0.0;1.0;1.0;1
52.0;85;85191;pr;a;m;l;1;D;11.0;420.0;0.0;1.0;0.0;1
52.0;85;85191;pr;a;m;l;2;C;82.0;610.0;0.0;0.0;1.0;1
52.0;85;85191;pr;a;m;l;2;D;66.0;620.0;0.0;0.0;0.0;1
52.0;85;85191;pr;a;m;l;3;B;60.0;658.5;0.0;0.5;0.0;2
52.0;85;85191;pr;a;m;l;3;C;68.0;610.0;0.0;0.0;1.0;1
52.0;85;85191;pr;a;m;l;3;D;62.0;520.0;0.0;1.0;0.0;1
52.0;85;85191;pr;a;m;l;4;A;87.5;705.0;0.0;0.0;0.0;2
52.0;85;85191;pr;a;m;l;4;C;98.0;800.0;0.33;0.33;0.67;3
52.0;85;85191;pr;a;m;l;4;D;99.0;702.0;0.0;0.5;0.5;2
52.0;85;85191;pr;a;m;l;4;F;98.0;812.0;1.0;0.0;1.0;1
52.0;85;85191;pr;a;m;l;4;NS;86.0;695.0;0.0;0.0;0.0;7
52.0;85;85191;pr;a;m;l;5;D;106.0;825.0;0.0;0.0;0.5;2
52.0;85;85191;pr;a;m;l;6;D;107.0;400.0;0.0;0.0;0.0;1
52.0;85;85194;pa;a;a;l;1;0;29.0;493.0;1.0;0.0;1.0;1
52.0;85;85194;pa;a;a;l;1;D;25.0;400.0;1.0;1.0;0.0;1
52.0;85;85194;pa;a;a;l;2;0;32.0;575.0;1.0;0.0;0.0;1
52.0;85;85194;pa;a;l;l;1;0;40.0;600.0;0.0;0.0;0.0;1
52.0;85;85194;pa;a;m;l;3;0;70.5;695.0;0.0;1.0;0.0;2
52.0;85;85194;pr;a;a;l;1;C;31.0;550.0;1.0;0.0;1.0;1
52.0;85;85194;pr;a;a;l;1;D;29.0;435.0;1.0;1.0;0.0;1
52.0;85;85194;pr;a;a;l;1;E;23.0;390.0;0.0;0.0;0.67;3
52.0;85;85194;pr;a;a;l;1;F;21.0;350.0;0.0;0.0;1.0;1
52.0;85;85194;pr;a;a;l;1;VI;26.0;432.0;0.0;0.5;0.0;2
52.0;85;85194;pr;a;a;l;2;0;46.5;541.5;0.5;0.5;0.5;2
52.0;85;85194;pr;a;a;l;2;A;44.0;490.0;0.14;0.71;0.14;7
52.0;85;85194;pr;a;a;l;2;B;42.0;506.0;0.5;0.0;0.5;2
52.0;85;85194;pr;a;a;l;2;C;63.0;690.0;0.0;0.0;1.0;1
52.0;85;85194;pr;a;a;l;2;D;41.0;515.0;0.0;0.5;0.5;2
52.0;85;85194;pr;a;a;l;2;E;44.0;620.0;0.33;0.33;0.67;3
52.0;85;85194;pr;a;a;l;2;VI;50.0;525.0;0.0;0.0;0.0;1
52.0;85;85194;pr;a;a;l;3;0;66.0;663.0;0.67;1.33;0.33;3
52.0;85;85194;pr;a;a;l;3;A;61.0;591.0;0.0;0.8;0.0;5
52.0;85;85194;pr;a;a;l;3;B;63.0;697.0;0.33;0.67;0.33;3
52.0;85;85194;pr;a;a;l;3;D;66.0;697.0;0.5;0.0;0.67;6
52.0;85;85194;pr;a;a;l;3;E;56.0;705.0;0.0;0.0;0.67;3
52.0;85;85194;pr;a;a;l;3;VI;57.0;700.0;0.0;0.0;0.0;1
52.0;85;85194;pr;a;a;l;4;A;76.5;775.5;0.5;0.0;1.0;2
52.0;85;85194;pr;a;a;l;4;D;111.0;1290.0;1.0;2.0;0.0;1
52.0;85;85194;pr;a;m;l;2;VI;40.0;663.0;0.0;0.0;0.0;1
52.0;85;85194;pr;a;m;l;3;D;67.5;725.0;0.0;1.0;0.0;2
52.0;85;85194;pr;a;m;l;3;VI;50.0;600.0;0.0;0.0;0.0;1
52.0;85;85194;pr;a;m;l;4;0;88.0;830.0;0.0;0.67;1.0;3
52.0;85;85194;pr;a;m;l;4;A;88.0;820.0;0.0;0.5;1.0;2
52.0;85;85194;pr;a;m;l;4;D;90.0;950.0;1.0;1.0;0.0;1
52.0;85;85194;pr;a;m;l;4;E;84.0;824.0;0.0;1.0;0.0;1
52.0;85;85194;pr;a;m;l;4;VI;75.0;800.0;0.0;2.0;0.0;1
52.0;85;85194;pr;a;m;l;5;A;110.0;998.0;0.0;2.0;0.0;1
52.0;85;85194;pr;a;m;l;5;C;145.0;1525.0;0.0;2.0;0.0;1
52.0;85;85194;pr;a;m;l;5;D;160.0;1025.0;0.0;0.0;0.0;1
52.0;85;85194;pr;a;m;l;5;E;117.0;980.0;0.0;0.0;0.0;1
52.0;85;85194;pr;a;m;l;5;VI;135.0;1150.0;0.0;0.0;1.0;1
52.0;85;85196;pr;a;m;l;3;D;72.0;456.0;0.0;0.0;1.0;1
52.0;85;85200;pr;a;m;l;5;VI;86.0;650.0;0.0;0.0;0.0;1
52.0;85;85204;pr;a;m;l;2;G;47.0;450.0;0.0;1.0;0.0;1
52.0;85;85214;pr;a;m;l;2;F;47.0;600.0;0.0;1.0;0.0;1
52.0;85;85215;pr;a;a;l;3;D;60.0;500.0;1.0;0.0;1.0;1
52.0;85;85215;pr;a;m;l;3;D;74.0;550.0;0.0;1.0;0.0;1
52.0;85;85216;pa;a;a;l;2;0;40.0;370.0;0.0;1.0;0.0;1
52.0;85;85220;pr;a;m;l;10;C;334.0;1000.0;0.0;1.0;3.0;1
52.0;85;85221;pr;a;m;l;3;D;69.0;660.0;0.0;0.0;1.0;1
52.0;85;85222;pr;a;a;l;1;0;32.0;415.0;0.0;0.0;1.0;1
52.0;85;85222;pr;a;a;l;1;D;20.0;444.0;0.0;1.0;0.0;1
52.0;85;85222;pr;a;a;l;2;0;38.0;422.0;0.33;0.67;0.33;3
52.0;85;85222;pr;a;a;l;2;A;40.0;495.0;1.0;1.0;0.0;1
52.0;85;85222;pr;a;a;l;2;B;49.0;482.0;0.0;1.0;0.0;1
52.0;85;85222;pr;a;a;l;3;0;66.5;700.0;0.0;0.0;0.0;2
52.0;85;85222;pr;a;a;l;3;B;67.0;580.0;0.0;1.0;0.0;1
52.0;85;85222;pr;a;a;l;3;D;64.0;540.0;0.0;0.0;1.0;1
52.0;85;85222;pr;a;a;l;3;VI;66.5;736.5;0.0;1.0;0.0;2
52.0;85;85222;pr;a;m;l;2;0;34.0;480.0;0.0;1.0;0.0;1
52.0;85;85222;pr;a;m;l;2;D;56.0;650.0;0.0;1.0;0.0;1
52.0;85;85222;pr;a;m;l;3;0;78.5;680.0;0.0;0.5;0.5;2
52.0;85;85222;pr;a;m;l;3;E;43.0;580.0;0.0;1.0;0.0;1
52.0;85;85222;pr;a;m;l;3;VI;75.0;600.0;0.0;0.0;1.0;1
52.0;85;85223;pr;a;a;l;1;VI;27.0;310.0;0.0;0.0;0.0;1
52.0;85;85223;pr;a;m;l;5;F;103.0;515.0;0.0;1.0;0.0;1
52.0;85;85226;pa;a;m;l;4;A;85.0;770.0;0.0;1.0;0.0;1
52.0;85;85226;pr;a;a;l;2;0;37.5;420.0;0.0;0.0;0.0;2
52.0;85;85226;pr;a;a;l;2;G;41.0;540.0;1.0;0.0;1.0;1
52.0;85;85226;pr;a;a;l;3;F;52.0;470.0;0.0;0.0;1.0;1
52.0;85;85226;pr;a;m;l;1;E;25.0;380.0;0.0;1.0;0.0;1
52.0;85;85226;pr;a;m;l;2;E;34.0;485.0;0.0;1.0;0.0;1
52.0;85;85226;pr;a;m;l;3;0;96.0;670.0;0.0;0.0;1.0;1
52.0;85;85226;pr;a;m;l;3;D;59.0;660.0;0.0;0.0;1.0;1
52.0;85;85226;pr;a;m;l;3;E;64.0;635.0;0.0;1.0;0.0;1
52.0;85;85226;pr;a;m;l;3;VI;97.0;670.0;0.0;0.0;1.0;1
52.0;85;85226;pr;a;m;l;4;A;87.0;790.0;0.0;0.0;1.0;1
52.0;85;85226;pr;a;m;l;4;VI;85.0;825.0;0.0;2.0;0.0;1
52.0;85;85226;pr;a;m;l;5;E;144.0;985.0;0.0;1.0;1.0;1
52.0;85;85234;pa;a;a;l;1;0;18.0;395.0;0.0;0.0;0.0;1
52.0;85;85234;pr;a;a;l;1;0;28.0;410.0;0.0;0.0;1.0;1
52.0;85;85234;pr;a;a;l;1;E;21.0;404.5;1.0;0.5;0.0;2
52.0;85;85234;pr;a;a;l;1;F;11.5;290.0;0.0;1.0;0.0;2
52.0;85;85234;pr;a;a;l;2;D;34.0;495.0;0.33;0.67;0.0;3
52.0;85;85234;pr;a;a;l;2;E;40.0;457.0;0.67;0.67;0.0;3
52.0;85;85234;pr;a;a;l;2;F;19.0;425.0;0.0;1.0;0.0;1
52.0;85;85234;pr;a;a;l;2;G;21.0;415.0;0.0;1.0;0.0;1
52.0;85;85234;pr;a;a;l;3;D;64.5;596.0;0.5;0.0;0.5;2
52.0;85;85234;pr;a;a;l;3;E;54.0;530.0;0.0;0.67;0.33;3
52.0;85;85234;pr;a;a;l;3;VI;60.0;610.0;1.0;0.0;1.0;1
52.0;85;85234;pr;a;m;l;4;0;116.0;700.0;0.0;1.0;1.0;1
52.0;85;85234;pr;a;m;l;4;F;84.0;850.0;0.0;0.0;0.0;1
52.0;85;85234;pr;a;m;l;5;F;114.0;1010.0;0.0;0.0;1.0;1
52.0;85;85238;pr;a;a;l;1;E;21.0;265.0;0.0;1.0;0.0;1
52.0;85;85238;pr;m;m;l;3;0;65.0;530.0;0.0;1.0;0.0;1
52.0;85;85240;pr;a;m;l;3;C;96.0;600.0;0.0;1.0;0.0;1
52.0;85;85243;pr;a;m;l;4;C;90.0;743.0;0.0;1.0;0.0;2
52.0;85;85246;pr;a;m;l;5;0;86.0;565.0;0.0;1.0;0.0;1
52.0;85;85247;pr;a;m;l;3;E;62.0;485.0;0.0;0.0;1.0;1
52.0;85;85247;pr;a;m;l;3;VI;124.0;598.0;0.0;2.0;0.0;1
52.0;85;85247;pr;a;m;l;5;NS;107.0;681.0;0.0;0.0;1.0;1
52.0;85;85255;pr;a;a;l;1;B;35.0;420.0;0.0;0.0;0.0;1
52.0;85;85255;pr;a;m;l;1;VI;13.0;279.0;0.0;1.0;0.0;1
52.0;85;85255;pr;a;m;l;4;D;60.0;576.0;0.0;1.0;0.0;1
52.0;85;85262;pr;a;a;l;1;E;25.0;327.0;0.0;1.0;1.0;1
52.0;85;85262;pr;a;a;l;2;C;37.0;374.0;0.0;0.0;0.0;1
52.0;85;85262;pr;a;a;l;3;C;65.0;573.0;1.0;0.0;1.0;1
52.0;85;85262;pr;a;a;l;3;VI;52.0;567.0;1.0;0.0;1.0;1
52.0;85;85276;pr;a;a;l;4;C;150.0;300.0;0.0;0.0;0.0;1
52.0;85;85278;pa;a;a;l;2;E;45.0;465.0;0.0;1.0;0.0;1
52.0;85;85278;pr;a;a;l;1;F;30.0;440.0;0.0;0.0;0.0;1
52.0;85;85278;pr;a;m;l;3;E;65.0;640.0;0.0;0.0;0.0;1
52.0;85;85278;pr;a;m;l;4;0;88.0;750.0;0.0;1.0;0.0;1
52.0;85;85280;pr;a;m;l;3;0;76.0;600.0;0.0;0.0;1.0;1
52.0;85;85281;pa;a;a;l;4;C;58.0;380.0;0.0;0.0;0.0;1
52.0;85;85284;pr;a;m;l;2;E;53.0;490.0;0.0;1.0;0.0;1
52.0;85;85288;pa;a;m;l;3;0;70.0;720.0;0.0;1.0;0.0;2
52.0;85;85288;pr;a;m;l;3;VI;47.0;655.0;0.0;0.0;0.0;1
52.0;85;85294;pa;a;m;l;3;0;72.0;600.0;0.0;0.0;0.0;1
52.0;85;85298;pr;a;a;l;5;E;158.0;700.0;0.0;0.0;0.0;1
52.0;85;85298;pr;a;m;l;4;E;85.0;735.0;0.0;1.0;0.0;1
52.0;85;85300;pr;a;m;l;4;VI;75.0;610.0;0.0;0.0;1.0;1
52.0;85;85301;pr;m;m;l;2;0;25.0;400.0;0.0;0.0;1.0;1
52.0;85;85302;pa;a;m;l;4;0;125.0;590.0;0.0;0.0;0.0;1
52.0;85;85307;pr;a;m;l;3;E;55.0;590.0;0.0;1.0;0.0;1
